                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0487,                 2.6671,                 2.4551,                 1.3195,                      1,                0.30695,                 0.7524,                0.48925,                      1,                0.30695,                0.75652,                0.43312,                0.99398,                 2.5477,                 2.1853,                 1.1935,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0451,                 1.7606,                 1.3409,                 1.2879,                0.66883,                0.75334,                0.72402,                0.43469,                0.76787,                0.76531,                0.79866,                0.47302,                 1.0128,                 1.4929,                 1.3751,                  1.216,              0.0010896,              0.0010896,              0.0010896
                      3,                 1.0858,                 1.7563,                 1.2132,                 1.3206,                0.62631,                0.73735,                0.68379,                0.33918,                0.62631,                0.73735,                0.72289,                0.34181,                 1.1115,                 2.0451,                  3.609,                 1.4059,              0.0016343,              0.0016343,              0.0016343
                      4,                 1.0992,                 1.7411,                 1.2028,                 1.3479,                0.88152,                 0.7978,                0.92902,                0.51442,                0.88152,                 0.7978,                0.93105,                0.55803,                 1.0642,                 1.2508,                  1.459,                 1.3432,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.0376,                 1.6681,                 1.1217,                 1.2927,                0.83069,                0.83532,                0.86762,                0.65032,                0.83948,                0.84325,                 0.8636,                0.60782,                0.78396,                 1.3758,                 1.0083,                  1.108,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.0294,                  1.649,                 1.1373,                 1.2899,                0.72091,                0.92855,                0.86151,                0.55565,                0.72091,                0.92855,                0.86151,                0.54994,                0.94627,                 1.1843,                  1.175,                  1.181,               0.001634,               0.001634,               0.001634
                      7,                0.98435,                 1.6402,                 1.0304,                  1.265,                0.91875,                 0.9841,                0.98409,                0.68952,                0.91875,                 0.9841,                0.98409,                0.64415,                0.88918,                 1.4142,                 1.0736,                 1.1532,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.0514,                 1.5752,                 1.0845,                 1.3232,                0.64379,                0.73823,                0.64631,                0.44156,                0.69945,                0.86706,                0.73407,                0.44564,                 0.9394,                  1.355,                 1.0074,                 1.1581,              0.0016175,              0.0016175,              0.0016175
                      9,                0.97786,                 1.5416,                0.96889,                  1.253,                0.73997,                0.79365,                0.70952,                0.49017,                0.77778,                0.83532,                0.75923,                 0.5094,                0.89443,                 1.2504,                 1.1049,                 1.1488,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.0077,                  1.623,                0.96755,                 1.2457,                0.86596,                0.86507,                0.92214,                0.63031,                 0.8747,                0.87292,                0.89651,                0.59603,                0.91505,                 1.3475,                0.93404,                 1.1792,               0.001601,               0.001601,               0.001601
                     11,                  1.003,                 1.5918,                 1.0116,                 1.2579,                0.89373,                0.92664,                0.95781,                0.63145,                0.93148,                 0.9071,                0.96325,                0.63576,                0.84986,                 1.0999,                0.98551,                 1.1628,              0.0015927,              0.0015927,              0.0015927
                     12,                0.99908,                 1.5776,                0.95771,                 1.2887,                0.92081,                0.96032,                0.98225,                0.60984,                0.92081,                0.96032,                0.98225,                 0.6327,                0.90548,                 1.1739,                0.95552,                 1.1879,              0.0015845,              0.0015845,              0.0015845
                     13,                0.84766,                  1.368,                0.80809,                 1.1854,                0.90005,                0.93638,                0.94304,                0.56266,                0.90005,                0.93638,                0.94304,                0.57599,                0.86816,                 1.0826,                0.85959,                 1.2188,              0.0015762,              0.0015762,              0.0015762
                     14,                0.89344,                 1.4022,                 0.8327,                 1.2101,                 0.8179,                0.95238,                0.90787,                0.68023,                 0.8179,                0.95238,                0.90787,                0.66992,                0.77559,                 1.1244,                0.92795,                 1.1687,               0.001568,               0.001568,               0.001568
                     15,                0.96159,                 1.4985,                0.89395,                 1.2693,                0.93875,                0.81966,                0.92961,                0.72078,                0.93875,                0.81966,                0.92998,                0.71041,                0.87079,                 1.2505,                0.97963,                 1.2149,              0.0015597,              0.0015597,              0.0015597
                     16,                 0.9002,                 1.4288,                0.81455,                 1.1967,                0.94314,                0.95088,                0.98077,                0.67588,                0.94314,                0.95088,                0.98077,                0.69896,                0.84458,                 1.0979,                0.85319,                  1.221,              0.0015515,              0.0015515,              0.0015515
                     17,                0.99067,                 1.5251,                0.87409,                 1.2776,                0.90147,                0.96278,                0.97547,                0.61714,                0.90147,                0.96278,                0.97125,                 0.6693,                0.92244,                 1.0431,                0.90738,                 1.2565,              0.0015432,              0.0015432,              0.0015432
                     18,                0.94969,                 1.4987,                0.87372,                 1.2577,                0.83871,                0.99206,                0.93932,                0.71785,                0.83871,                0.99206,                0.93932,                0.69071,                0.86063,                  1.173,                0.90384,                 1.2106,               0.001535,               0.001535,               0.001535
                     19,                0.98718,                 1.5687,                0.88598,                 1.2841,                  0.932,                 0.9469,                0.97249,                0.65781,                  0.932,                 0.9469,                0.97365,                0.68874,                0.84048,                 1.0867,                0.80243,                 1.1684,              0.0015267,              0.0015267,              0.0015267
                     20,                0.89958,                  1.456,                0.78811,                 1.2102,                0.99692,                0.94007,                0.98969,                0.81284,                0.99692,                0.94007,                0.98969,                0.82469,                0.68788,                 1.0782,                0.70036,                 1.0937,              0.0015185,              0.0015185,              0.0015185
                     21,                0.86974,                 1.3884,                0.77252,                 1.1811,                0.98293,                0.97794,                0.98824,                0.82539,                0.98293,                0.97794,                0.98824,                0.81781,                0.68409,                 1.0526,                0.68703,                 1.1136,              0.0015102,              0.0015102,              0.0015102
                     22,                0.88096,                 1.3994,                0.75335,                 1.1883,                0.94386,                0.88903,                0.93593,                0.76044,                0.94386,                0.88903,                0.93593,                0.74574,                0.63816,                 1.0362,                0.69335,                  1.076,               0.001502,               0.001502,               0.001502
                     23,                0.85038,                 1.3641,                0.75462,                 1.1617,                0.77235,                0.74206,                0.83696,                0.65469,                0.77135,                0.90873,                0.87999,                0.66883,                0.77438,                0.96524,                0.76007,                 1.1579,              0.0014937,              0.0014937,              0.0014937
                     24,                0.85275,                 1.3395,                0.76323,                 1.1763,                0.66796,                0.90873,                0.75473,                0.52857,                0.64558,                0.86706,                0.73677,                0.54494,                0.77283,                 0.9647,                0.78525,                 1.1278,              0.0014855,              0.0014855,              0.0014855
                     25,                0.87308,                 1.3478,                0.74593,                 1.1847,                0.88464,                0.97592,                0.96812,                0.76418,                0.88464,                0.97592,                0.97145,                0.77242,                0.72365,                0.99527,                0.72275,                 1.1408,              0.0014772,              0.0014772,              0.0014772
                     26,                0.87013,                 1.3047,                0.72829,                 1.1644,                 0.9155,                 0.9504,                0.97088,                0.81885,                 0.9155,                 0.9504,                0.97088,                 0.8012,                0.67503,                0.91708,                0.66921,                 1.0924,               0.001469,               0.001469,               0.001469
                     27,                0.88823,                 1.3778,                0.79949,                 1.1997,                0.97018,                0.99206,                0.99129,                0.83776,                0.97018,                0.99206,                0.99129,                  0.811,                0.69797,                 1.0129,                0.68227,                 1.0876,              0.0014607,              0.0014607,              0.0014607
                     28,                0.82802,                 1.3264,                 0.7027,                 1.1597,                0.97195,                0.99206,                0.98963,                0.83737,                0.97195,                0.99206,                0.98963,                0.80775,                0.69683,                 1.0221,                0.67799,                 1.1018,              0.0014525,              0.0014525,              0.0014525
                     29,                0.84245,                 1.2936,                0.69431,                 1.1694,                0.98359,                0.98172,                0.98955,                0.80706,                0.98359,                0.98172,                0.98955,                0.82065,                0.71112,                 1.0236,                0.63485,                 1.1221,              0.0014442,              0.0014442,              0.0014442
                     30,                0.83302,                 1.3553,                0.69139,                 1.1638,                0.97623,                0.98608,                0.98931,                0.78654,                0.97623,                0.98608,                0.98931,                0.78382,                0.76612,                 1.0661,                 0.6536,                 1.1791,               0.001436,               0.001436,               0.001436
                     31,                0.82919,                 1.3034,                0.67194,                 1.1699,                0.98178,                0.99206,                0.98901,                0.80587,                0.98178,                0.99206,                0.98901,                0.79992,                0.73048,                 1.0286,                0.63266,                 1.1589,              0.0014277,              0.0014277,              0.0014277
                     32,                 0.8748,                 1.3447,                0.69037,                 1.1746,                0.96747,                0.98731,                0.98203,                0.80282,                0.96747,                0.98731,                0.98203,                0.80528,                0.77821,                 1.0361,                0.66009,                 1.1792,              0.0014195,              0.0014195,              0.0014195
                     33,                0.84715,                 1.3127,                0.67791,                 1.1861,                0.96835,                0.98453,                0.98146,                0.78988,                0.96835,                0.98453,                0.98146,                0.80679,                0.82916,                 1.1189,                0.70778,                 1.2683,              0.0014112,              0.0014112,              0.0014112
                     34,                0.86147,                  1.376,                0.68442,                  1.185,                 0.9756,                 0.9789,                0.98848,                0.83487,                 0.9756,                 0.9789,                0.98848,                0.80267,                0.72947,                 1.1176,                0.66595,                 1.1518,              0.0014029,              0.0014029,              0.0014029
                     35,                0.82667,                 1.2962,                0.64822,                 1.1658,                0.97671,                0.98296,                0.98966,                0.85809,                0.97671,                0.98296,                0.98966,                0.83134,                0.70613,                 1.0521,                0.60074,                 1.1648,              0.0013947,              0.0013947,              0.0013947
                     36,                0.80353,                 1.2529,                 0.6361,                 1.1442,                0.99061,                 0.9856,                0.98988,                 0.8478,                0.99061,                 0.9856,                0.98988,                0.83722,                0.65177,                 1.0717,                0.60815,                 1.1359,              0.0013864,              0.0013864,              0.0013864
                     37,                 0.8075,                 1.2812,                0.64337,                 1.1513,                0.97987,                0.96219,                0.98938,                0.85762,                0.97987,                0.96219,                0.98938,                0.83428,                0.62959,                 1.0451,                0.59845,                 1.0905,              0.0013782,              0.0013782,              0.0013782
                     38,                0.78699,                 1.2969,                0.61694,                 1.1304,                0.99339,                0.98265,                0.99012,                0.84911,                0.99339,                0.98265,                0.99012,                0.85201,                0.66963,                 1.0548,                0.59113,                 1.1139,              0.0013699,              0.0013699,              0.0013699
                     39,                0.77414,                 1.2321,                0.61118,                 1.1378,                0.98442,                0.99027,                0.98971,                 0.8556,                0.98442,                0.99027,                0.98971,                0.83307,                0.61079,                 1.0828,                0.53256,                 1.0893,              0.0013617,              0.0013617,              0.0013617
                     40,                0.76805,                 1.2681,                0.60337,                 1.1302,                0.99467,                0.97346,                 0.9901,                0.84002,                0.99467,                0.97346,                 0.9901,                0.82959,                0.62117,                 1.0321,                0.53593,                   1.07,              0.0013534,              0.0013534,              0.0013534
                     41,                0.76933,                 1.2426,                 0.6015,                 1.1315,                0.98184,                0.99206,                0.98964,                0.84999,                0.98184,                0.99206,                0.98964,                0.84454,                0.61969,                0.96473,                0.52499,                 1.0631,              0.0013452,              0.0013452,              0.0013452
                     42,                0.83581,                 1.3008,                0.64891,                 1.1731,                0.98139,                0.99113,                0.98758,                0.87536,                0.98139,                0.99113,                0.98758,                0.85569,                0.62004,                0.93877,                0.52248,                 1.0606,              0.0013369,              0.0013369,              0.0013369
                     43,                0.80916,                 1.2817,                0.61196,                 1.1361,                0.98419,                 0.9829,                0.98774,                0.82343,                0.98419,                 0.9829,                0.98774,                 0.8177,                0.77712,                 1.0015,                0.56303,                 1.1156,              0.0013287,              0.0013287,              0.0013287
                     44,                0.80173,                  1.222,                0.59779,                 1.1161,                0.98522,                0.99113,                  0.989,                0.81216,                0.98522,                0.99113,                  0.989,                0.77948,                0.69049,                 1.0204,                0.53654,                 1.0972,              0.0013204,              0.0013204,              0.0013204
                     45,                0.80009,                 1.2369,                0.58647,                 1.1452,                0.99193,                0.93999,                0.98488,                0.83513,                0.99193,                0.93999,                0.98488,                0.81737,                0.70986,                 1.0143,                0.57841,                 1.1069,              0.0013122,              0.0013122,              0.0013122
                     46,                 0.8129,                 1.2477,                 0.6022,                 1.1299,                0.90549,                 0.9504,                0.96767,                0.81612,                0.90549,                 0.9504,                0.96767,                0.80459,                0.66979,                 1.1042,                0.58172,                 1.1079,              0.0013039,              0.0013039,              0.0013039
                     47,                0.76185,                 1.2044,                0.58645,                 1.1346,                0.93929,                 0.9504,                0.97728,                0.83584,                0.93929,                 0.9504,                0.97728,                0.82986,                0.66443,                 1.1081,                0.58883,                 1.1054,              0.0012957,              0.0012957,              0.0012957
                     48,                0.74374,                 1.1991,                 0.5489,                 1.0955,                0.96822,                0.97619,                0.98746,                0.80869,                0.97622,                0.98413,                0.99116,                0.82895,                0.68772,                 1.0277,                0.59004,                 1.1482,              0.0012874,              0.0012874,              0.0012874
                     49,                0.78763,                 1.2255,                0.57327,                 1.1394,                0.98689,                0.98917,                0.99086,                0.86188,                0.98689,                0.98917,                0.99086,                0.86555,                0.64048,                 1.0083,                0.53773,                 1.0797,              0.0012792,              0.0012792,              0.0012792
                     50,                0.79908,                 1.2586,                0.59901,                 1.1421,                0.98832,                0.99206,                0.99186,                0.87473,                0.98832,                0.99206,                0.99186,                0.85698,                0.66982,                  1.007,                0.55341,                 1.1088,              0.0012709,              0.0012709,              0.0012709
                     51,                0.79128,                 1.2551,                0.58446,                 1.1489,                0.98934,                0.99206,                0.99375,                0.88474,                0.98934,                0.99206,                0.99375,                0.86333,                0.60007,                0.98227,                0.49872,                 1.0802,              0.0012627,              0.0012627,              0.0012627
                     52,                0.77013,                 1.1788,                 0.5499,                 1.1223,                0.97888,                0.99206,                0.99275,                0.88064,                0.97888,                0.99206,                0.99275,                0.86727,                0.63954,                0.97357,                0.54052,                 1.0798,              0.0012544,              0.0012544,              0.0012544
                     53,                0.78538,                 1.2569,                0.56392,                 1.1156,                0.97954,                0.97926,                0.98818,                0.87475,                0.97954,                0.97926,                0.98818,                0.85381,                0.61906,                0.94773,                0.56075,                 1.0641,              0.0012462,              0.0012462,              0.0012462
                     54,                0.79187,                 1.2162,                0.56642,                  1.122,                0.97183,                0.97154,                0.98562,                0.87322,                0.97183,                0.97154,                0.98562,                0.86324,                0.59953,                0.87911,                0.58159,                 1.0601,              0.0012379,              0.0012379,              0.0012379
                     55,                0.75635,                 1.2031,                0.55057,                 1.1078,                0.96615,                0.98187,                0.98187,                0.84649,                  0.974,                0.98981,                0.98441,                0.84382,                0.62281,                0.88013,                0.55062,                 1.0572,              0.0012297,              0.0012297,              0.0012297
                     56,                0.73992,                 1.1739,                0.53132,                 1.1008,                0.97179,                0.98413,                0.98776,                0.84342,                0.97956,                0.99206,                0.98908,                0.84006,                0.64192,                0.96374,                0.52265,                 1.0867,              0.0012214,              0.0012214,              0.0012214
                     57,                0.74967,                 1.1756,                0.52814,                  1.118,                0.98706,                0.97613,                0.98922,                0.83646,                0.98706,                0.97613,                0.98922,                0.82577,                0.69103,                 1.0184,                0.51339,                 1.0967,              0.0012132,              0.0012132,              0.0012132
                     58,                 0.7829,                 1.2415,                0.56217,                 1.1479,                0.98348,                0.98413,                0.98647,                0.85331,                0.98348,                0.98413,                0.98647,                 0.8538,                0.64553,                0.95069,                0.51454,                 1.0931,              0.0012049,              0.0012049,              0.0012049
                     59,                0.77275,                  1.184,                0.53979,                 1.1193,                0.97195,                0.99151,                0.99022,                0.85859,                0.97195,                0.99151,                0.99022,                0.84245,                0.66248,                0.92723,                0.55655,                 1.0903,              0.0011967,              0.0011967,              0.0011967
                     60,                0.75809,                 1.2346,                0.54405,                  1.126,                0.97986,                0.93988,                 0.9872,                0.85275,                0.97986,                0.93988,                 0.9872,                0.84872,                0.65666,                0.94384,                0.56211,                  1.116,              0.0011884,              0.0011884,              0.0011884
                     61,                0.76122,                 1.1971,                0.54128,                  1.091,                0.98398,                0.97072,                0.98947,                0.79225,                0.98398,                0.97072,                0.98947,                0.79799,                0.62557,                 0.9414,                0.54635,                 1.1066,              0.0011802,              0.0011802,              0.0011802
                     62,                0.76197,                 1.1943,                0.52295,                 1.1175,                0.98457,                0.96825,                0.98799,                0.84601,                0.98457,                0.96825,                0.98799,                0.83515,                0.61435,                 0.9579,                0.55905,                 1.0839,              0.0011719,              0.0011719,              0.0011719
                     63,                0.72626,                 1.1375,                 0.5123,                 1.0799,                0.98194,                0.96825,                0.98828,                0.84529,                0.98194,                0.96825,                0.98828,                0.84708,                0.61762,                0.96653,                0.51309,                 1.0836,              0.0011636,              0.0011636,              0.0011636
                     64,                0.74825,                 1.2172,                0.51125,                 1.1122,                0.98396,                 0.9751,                0.98914,                0.87577,                0.98396,                 0.9751,                0.98914,                0.86323,                0.61661,                0.95563,                0.50374,                 1.0948,              0.0011554,              0.0011554,              0.0011554
                     65,                0.76347,                 1.2106,                 0.5345,                 1.1311,                0.96594,                0.99206,                0.98925,                0.87149,                0.96594,                0.99206,                0.98925,                 0.8656,                0.60094,                0.97049,                0.50854,                 1.0769,              0.0011471,              0.0011471,              0.0011471
                     66,                0.80932,                 1.1984,                0.53974,                 1.1325,                0.97687,                0.86706,                0.95263,                0.85992,                0.97687,                0.86706,                0.95263,                0.83074,                0.60763,                 1.0001,                0.56163,                 1.0802,              0.0011389,              0.0011389,              0.0011389
                     67,                0.78081,                 1.2026,                0.55726,                 1.1248,                0.97944,                0.97585,                0.98936,                0.86106,                0.97944,                0.97585,                0.98936,                0.85819,                0.62687,                0.96452,                0.51156,                 1.0775,              0.0011306,              0.0011306,              0.0011306
                     68,                0.73786,                 1.1544,                0.50735,                  1.096,                0.98043,                0.98518,                0.98939,                0.79429,                0.98043,                0.98518,                0.98939,                0.79378,                0.61895,                0.98661,                0.50013,                 1.0688,              0.0011224,              0.0011224,              0.0011224
                     69,                0.76082,                 1.1806,                0.51801,                 1.1131,                0.97675,                0.97511,                0.98841,                0.80314,                0.97675,                0.97511,                0.98841,                0.82703,                0.68423,                 0.9529,                0.50444,                 1.0891,              0.0011141,              0.0011141,              0.0011141
                     70,                0.73651,                 1.1632,                0.50629,                 1.1014,                0.97029,                 0.9504,                0.98381,                0.85132,                0.97029,                 0.9504,                0.98381,                0.86328,                0.60312,                0.93742,                0.50791,                 1.0436,              0.0011059,              0.0011059,              0.0011059
                     71,                0.70892,                 1.1217,                0.47278,                 1.0679,                  0.977,                0.94246,                0.97612,                0.88136,                0.98487,                 0.9504,                0.97981,                0.85259,                0.61741,                0.92898,                0.51292,                 1.0657,              0.0010976,              0.0010976,              0.0010976
                     72,                0.72632,                 1.1835,                0.48653,                 1.0789,                0.96344,                0.97007,                0.97885,                0.85151,                0.97135,                  0.978,                0.98871,                0.84225,                 0.6657,                0.92122,                0.53199,                 1.1064,              0.0010894,              0.0010894,              0.0010894
                     73,                0.73355,                 1.1698,                0.50135,                 1.0952,                0.96271,                0.91952,                0.97484,                0.81195,                0.97076,                0.92745,                0.98539,                0.82911,                0.64868,                0.87959,                0.52015,                 1.0945,              0.0010811,              0.0010811,              0.0010811
                     74,                0.73916,                 1.1842,                0.50785,                 1.1103,                0.95655,                0.99023,                0.98636,                 0.8274,                0.95655,                0.99023,                0.98636,                0.85745,                 0.6065,                0.86753,                0.51467,                 1.0674,              0.0010729,              0.0010729,              0.0010729
                     75,                0.73777,                 1.1443,                0.50626,                  1.097,                0.98673,                0.96318,                0.98538,                0.85833,                0.98673,                0.96318,                0.98538,                0.87372,                0.60087,                0.87653,                0.52406,                  1.068,              0.0010646,              0.0010646,              0.0010646
                     76,                0.69768,                 1.1253,                0.48237,                 1.0769,                0.92755,                0.93966,                 0.9782,                0.87484,                0.92755,                0.93966,                 0.9782,                0.85913,                0.56749,                0.94296,                 0.5333,                 1.0362,              0.0010564,              0.0010564,              0.0010564
                     77,                0.68385,                   1.12,                0.47425,                 1.0657,                0.93948,                0.90873,                0.97347,                0.88057,                0.93948,                0.90873,                0.97347,                0.87061,                 0.5759,                0.92341,                0.53409,                 1.0361,              0.0010481,              0.0010481,              0.0010481
                     78,                0.71502,                 1.1199,                0.46208,                 1.0505,                0.92488,                 0.9504,                0.98131,                0.89129,                0.92488,                 0.9504,                0.98131,                0.87533,                0.56171,                0.90259,                0.52746,                 1.0362,              0.0010399,              0.0010399,              0.0010399
                     79,                0.69923,                 1.1064,                0.46826,                 1.0757,                0.92071,                0.97614,                0.98265,                0.86877,                0.92071,                0.97614,                0.98265,                0.87674,                0.61466,                0.94052,                0.52635,                 1.0665,              0.0010316,              0.0010316,              0.0010316
                     80,                0.67369,                 1.0741,                0.44424,                 1.0622,                0.96909,                 0.9504,                0.98525,                 0.8694,                0.96909,                 0.9504,                0.98525,                0.86853,                0.63144,                0.98346,                0.50472,                 1.0865,              0.0010234,              0.0010234,              0.0010234
                     81,                0.72106,                 1.1612,                0.48688,                 1.0798,                0.98035,                0.98224,                0.98785,                0.85918,                0.98035,                0.98224,                0.98785,                0.85873,                0.64195,                 1.0063,                0.49924,                 1.1036,              0.0010151,              0.0010151,              0.0010151
                     82,                0.71108,                 1.1311,                0.47931,                 1.0737,                0.95468,                0.99206,                0.97794,                0.87895,                0.95468,                0.99206,                0.97794,                0.83992,                0.63459,                 1.0002,                0.49229,                 1.0936,              0.0010069,              0.0010069,              0.0010069
                     83,                0.72902,                 1.1582,                0.48751,                 1.0939,                0.98092,                0.98184,                0.98455,                0.88026,                0.98092,                0.98184,                0.98455,                0.85656,                0.64544,                0.97026,                0.49617,                 1.0999,             0.00099862,             0.00099862,             0.00099862
                     84,                0.69751,                 1.1459,                0.48292,                 1.0648,                0.97971,                0.98009,                0.98591,                0.88963,                0.97971,                0.98009,                0.98591,                0.86152,                0.66827,                0.96585,                0.51026,                 1.1056,             0.00099036,             0.00099036,             0.00099036
                     85,                0.69537,                 1.1232,                0.47472,                  1.073,                0.97364,                0.98098,                0.98123,                0.89383,                0.97364,                0.98098,                0.98123,                 0.8637,                0.56957,                0.93487,                0.48551,                 1.0851,             0.00098211,             0.00098211,             0.00098211
                     86,                0.68568,                 1.1107,                0.44167,                 1.0495,                0.97049,                0.98462,                 0.9858,                 0.8934,                0.97049,                0.98462,                 0.9858,                0.87617,                0.54081,                0.87407,                0.46589,                 1.0397,             0.00097386,             0.00097386,             0.00097386
                     87,                0.70211,                 1.1423,                 0.4776,                 1.0746,                 0.9639,                0.98413,                0.98786,                0.88833,                 0.9639,                0.98413,                0.98786,                0.87691,                0.58567,                 0.9016,                0.51814,                 1.0627,             0.00096561,             0.00096561,             0.00096561
                     88,                 0.6952,                 1.1184,                0.45006,                 1.0685,                0.91725,                0.98674,                0.97718,                0.88827,                0.91725,                0.98674,                0.97718,                0.87481,                0.56924,                0.94793,                0.54766,                 1.0768,             0.00095736,             0.00095736,             0.00095736
                     89,                0.68724,                 1.1035,                0.45759,                 1.0784,                0.91452,                0.99206,                 0.9881,                0.88971,                0.91452,                0.99206,                 0.9881,                0.87887,                0.59387,                0.93182,                 0.5462,                 1.1083,             0.00094911,             0.00094911,             0.00094911
                     90,                0.71743,                 1.1288,                0.48238,                 1.0937,                 0.9483,                0.92923,                0.98021,                0.84844,                0.95564,                0.93717,                0.98211,                0.87273,                 0.6237,                0.87551,                 0.5403,                 1.1358,             0.00094085,             0.00094085,             0.00094085
                     91,                0.71191,                 1.1302,                0.48254,                 1.0943,                0.95651,                 0.9504,                0.98103,                0.87254,                0.95651,                 0.9504,                 0.9812,                0.88277,                0.56311,                0.85924,                0.47869,                 1.0698,              0.0009326,              0.0009326,              0.0009326
                     92,                 0.6863,                  1.108,                0.46503,                 1.0778,                0.97643,                0.97364,                0.98909,                0.87461,                0.97643,                0.97364,                0.98909,                0.88183,                0.60923,                0.85918,                0.48511,                 1.0859,             0.00092435,             0.00092435,             0.00092435
                     93,                0.66609,                 1.0689,                0.42669,                 1.0572,                0.99175,                0.96342,                0.98904,                0.90224,                0.99175,                0.96342,                0.98904,                0.89204,                0.60081,                0.88063,                0.49832,                 1.0475,              0.0009161,              0.0009161,              0.0009161
                     94,                0.63879,                 1.0572,                0.42447,                 1.0424,                0.99189,                0.97622,                0.98945,                0.92347,                0.99189,                0.97622,                0.98945,                0.89074,                0.56625,                0.91657,                0.47317,                 1.0334,             0.00090785,             0.00090785,             0.00090785
                     95,                0.66751,                 1.0812,                0.42377,                 1.0403,                0.98635,                0.98236,                0.98965,                0.88035,                0.98635,                0.98236,                0.98965,                0.87573,                 0.5651,                0.89485,                0.44544,                 1.0677,              0.0008996,              0.0008996,              0.0008996
                     96,                0.63823,                  1.043,                0.41279,                 1.0333,                0.99097,                0.99037,                0.99034,                0.88873,                0.99097,                0.99037,                0.99034,                0.88222,                 0.5727,                0.91312,                0.45196,                 1.0799,             0.00089134,             0.00089134,             0.00089134
                     97,                0.66377,                 1.1007,                0.44564,                 1.0476,                0.97223,                 0.9835,                0.99016,                0.88246,                0.97223,                 0.9835,                0.99016,                0.87316,                0.58591,                0.89313,                0.46871,                 1.0788,             0.00088309,             0.00088309,             0.00088309
                     98,                0.66686,                 1.0616,                0.44298,                 1.0535,                0.95079,                 0.9504,                0.96589,                0.85526,                0.95079,                 0.9504,                0.96589,                 0.8537,                0.58381,                0.82673,                0.50679,                 1.0741,             0.00087484,             0.00087484,             0.00087484
                     99,                0.65631,                 1.0453,                0.42802,                 1.0258,                0.96195,                 0.9504,                0.98632,                0.88278,                0.96195,                 0.9504,                0.98632,                0.87932,                 0.5421,                0.82453,                0.49104,                 1.0428,             0.00086659,             0.00086659,             0.00086659
